epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,899,,,,0.965416669845581,0.11285683512687683
0,899,,,0.16489821672439575,,
1,1799,,,,0.9686111211776733,0.10162211209535599
1,1799,,,0.09114299714565277,,
2,2699,,,,0.9697222113609314,0.08809065073728561
2,2699,,,0.0690545067191124,,
3,3599,,,,0.9709722399711609,0.09185739606618881
3,3599,,,0.059067171066999435,,
4,4499,,,,0.9695833325386047,0.08648757636547089
4,4499,,,0.05152818188071251,,
5,5399,,,,0.976111114025116,0.07269321382045746
5,5399,,,0.04443272203207016,,
6,6299,,,,0.9752777814865112,0.08061090856790543
6,6299,,,0.03880101814866066,,
7,7199,,,,0.9740277528762817,0.08159325271844864
7,7199,,,0.033155206590890884,,
8,8099,,,,0.976527750492096,0.07315877079963684
8,8099,,,0.02931099198758602,,
9,8999,,,,0.9755555391311646,0.09426430612802505
9,8999,,,0.024258306249976158,,
10,9899,,,,0.9776389002799988,0.08498308062553406
10,9899,,,0.02134205959737301,,
11,10799,,,,0.9725000262260437,0.1282455325126648
11,10799,,,0.016847847029566765,,
12,11699,,,,0.972777783870697,0.09934980422258377
12,11699,,,0.01609637960791588,,
13,12599,,,,0.9741666913032532,0.11087780445814133
13,12599,,,0.013317380100488663,,
14,13499,,,,0.9751389026641846,0.11466667801141739
14,13499,,,0.010933009907603264,,
15,14399,,,,0.9745833277702332,0.12063594907522202
15,14399,,,0.009432187303900719,,
16,14400,0.37716665863990784,8.097917556762695,,,
