epoch,step,train_loss,val_acc,val_loss
0,899,,0.9622222185134888,0.12382867932319641
0,899,0.18773069977760315,,
1,1799,,0.9668055772781372,0.10506621748209
1,1799,0.10198470950126648,,
2,2699,,0.9666666388511658,0.10039809346199036
2,2699,0.08080637454986572,,
3,3599,,0.9691666960716248,0.0952557623386383
3,3599,0.07096917927265167,,
4,4499,,0.96875,0.08973917365074158
4,4499,0.06294246017932892,,
5,5399,,0.9706944227218628,0.08166836202144623
5,5399,0.05553553253412247,,
6,6299,,0.9723610877990723,0.0818590447306633
6,6299,0.05070725828409195,,
7,7199,,0.9740277528762817,0.08217751979827881
7,7199,0.044020477682352066,,
8,8099,,0.972777783870697,0.07968781888484955
8,8099,0.04028206318616867,,
9,8999,,0.9770833253860474,0.07760610431432724
9,8999,0.034383997321128845,,
10,9899,,0.9754166603088379,0.08121372014284134
10,9899,0.03206499665975571,,
11,10799,,0.972777783870697,0.08980728685855865
11,10799,0.0288334172219038,,
12,11699,,0.973194420337677,0.07847482711076736
12,11699,0.026240043342113495,,
13,12599,,0.9754166603088379,0.07943622767925262
13,12599,0.02239217795431614,,
14,13499,,0.9747222065925598,0.08942367881536484
14,13499,0.019985195249319077,,
